trajectory_id,trajectory
1,"[{""state"": {""pirate_pos"": [2, 4], ""treasure_pos"": [2, 1], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [3, 4], ""treasure_pos"": [2, 1], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [2, 1], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [2, 1], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [2, 1], ""pirate_orientation"": 2}, ""action"": 1}]"
2,"[{""state"": {""pirate_pos"": [3, 3], ""treasure_pos"": [1, 1], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 3], ""treasure_pos"": [1, 1], ""pirate_orientation"": 2}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 3], ""treasure_pos"": [1, 1], ""pirate_orientation"": 3}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 3], ""treasure_pos"": [1, 1], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 3], ""treasure_pos"": [1, 1], ""pirate_orientation"": 1}, ""action"": 0}]"
3,"[{""state"": {""pirate_pos"": [1, 3], ""treasure_pos"": [3, 1], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 3], ""treasure_pos"": [3, 1], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [2, 3], ""treasure_pos"": [3, 1], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [2, 3], ""treasure_pos"": [3, 1], ""pirate_orientation"": 2}, ""action"": 0}, {""state"": {""pirate_pos"": [2, 3], ""treasure_pos"": [3, 1], ""pirate_orientation"": 3}, ""action"": 1}]"
4,"[{""state"": {""pirate_pos"": [3, 1], ""treasure_pos"": [4, 4], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 1], ""treasure_pos"": [4, 4], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [4, 1], ""treasure_pos"": [4, 4], ""pirate_orientation"": 1}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 2], ""treasure_pos"": [4, 4], ""pirate_orientation"": 1}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 3], ""treasure_pos"": [4, 4], ""pirate_orientation"": 1}, ""action"": 1}]"
5,"[{""state"": {""pirate_pos"": [1, 1], ""treasure_pos"": [0, 4], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 1], ""treasure_pos"": [0, 4], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 1], ""treasure_pos"": [0, 4], ""pirate_orientation"": 2}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 1], ""treasure_pos"": [0, 4], ""pirate_orientation"": 3}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 1], ""treasure_pos"": [0, 4], ""pirate_orientation"": 0}, ""action"": 0}]"
6,"[{""state"": {""pirate_pos"": [3, 1], ""treasure_pos"": [1, 2], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 1], ""treasure_pos"": [1, 2], ""pirate_orientation"": 1}, ""action"": 1}, {""state"": {""pirate_pos"": [3, 2], ""treasure_pos"": [1, 2], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 2], ""treasure_pos"": [1, 2], ""pirate_orientation"": 2}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 2], ""treasure_pos"": [1, 2], ""pirate_orientation"": 2}, ""action"": 1}]"
7,"[{""state"": {""pirate_pos"": [2, 2], ""treasure_pos"": [4, 2], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [3, 2], ""treasure_pos"": [4, 2], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 2], ""treasure_pos"": [4, 2], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [3, 2], ""treasure_pos"": [4, 2], ""pirate_orientation"": 2}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 2], ""treasure_pos"": [4, 2], ""pirate_orientation"": 2}, ""action"": 1}]"
8,"[{""state"": {""pirate_pos"": [0, 2], ""treasure_pos"": [0, 0], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [0, 2], ""treasure_pos"": [0, 0], ""pirate_orientation"": 2}, ""action"": 0}, {""state"": {""pirate_pos"": [0, 2], ""treasure_pos"": [0, 0], ""pirate_orientation"": 3}, ""action"": 0}, {""state"": {""pirate_pos"": [0, 2], ""treasure_pos"": [0, 0], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [1, 2], ""treasure_pos"": [0, 0], ""pirate_orientation"": 0}, ""action"": 1}]"
9,"[{""state"": {""pirate_pos"": [1, 3], ""treasure_pos"": [0, 0], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 3], ""treasure_pos"": [0, 0], ""pirate_orientation"": 1}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 3], ""treasure_pos"": [0, 0], ""pirate_orientation"": 2}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 3], ""treasure_pos"": [0, 0], ""pirate_orientation"": 3}, ""action"": 0}, {""state"": {""pirate_pos"": [1, 3], ""treasure_pos"": [0, 0], ""pirate_orientation"": 0}, ""action"": 0}]"
10,"[{""state"": {""pirate_pos"": [1, 3], ""treasure_pos"": [1, 2], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 3], ""treasure_pos"": [1, 2], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [3, 3], ""treasure_pos"": [1, 2], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 3], ""treasure_pos"": [1, 2], ""pirate_orientation"": 0}, ""action"": 0}, {""state"": {""pirate_pos"": [4, 3], ""treasure_pos"": [1, 2], ""pirate_orientation"": 1}, ""action"": 1}]"
11,"[{""state"": {""pirate_pos"": [2, 0], ""treasure_pos"": [4, 3], ""pirate_orientation"": 3}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 0], ""treasure_pos"": [4, 3], ""pirate_orientation"": 3}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 0], ""treasure_pos"": [4, 3], ""pirate_orientation"": 3}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 0], ""treasure_pos"": [4, 3], ""pirate_orientation"": 3}, ""action"": 1}, {""state"": {""pirate_pos"": [2, 0], ""treasure_pos"": [4, 3], ""pirate_orientation"": 3}, ""action"": 1}]"
12,"[{""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [1, 0], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [1, 0], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [1, 0], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [1, 0], ""pirate_orientation"": 0}, ""action"": 1}, {""state"": {""pirate_pos"": [4, 4], ""treasure_pos"": [1, 0], ""pirate_orientation"": 0}, ""action"": 1}]"
